rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence,num_genes_associated_with_rxn
C102CPT1,production of decadienoylcarnitine,Fatty acid oxidation,6811,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * decadienoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * decadienoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C10DCc,production of sebacoylcarnitine,Fatty acid oxidation,6814,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * sebacoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * sebacoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C10OHc,production of 3-OHdecanoylcarnitinec,Fatty acid oxidation,6816,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * (S)-3-Hydroxydecanoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxydecanoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C120CPT1,production of dodecanoylcarnitine,Fatty acid oxidation,6817,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * lauroyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C121CPT1,production of dodecenoylcarnitine,Fatty acid oxidation,6818,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * trans-Dodec-2-enoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * dodecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C12OHc,production of 3-OHdodecanoylcarnitinec,Fatty acid oxidation,6823,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * (S)-3-Hydroxydodecanoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxydodecanoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C140CPT1,production of myristoylcarnitine,Fatty acid oxidation,6824,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * myristoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C141ACBP,transport of 3-hydroxytetradecenoyl coa from mitochondria into cytosol,Fatty acid oxidation,6825,,DBI,"1.00 * 3-hydroxy tetradecenoyl-7-coa [m] --> 1.00 * 3-hydroxy tetradecenoyl-7-coa [c]
DBI",3.0,1
C141CPT1,production of tetradecenoylcarnitine,Fatty acid oxidation,6826,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * tetradecenoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * tetradecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C141OHc,production of 3-hydroxytetradecenoyl carnitine,Fatty acid oxidation,6827,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxy tetradecenoyl-7-coa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy tetradecenoyl-7-carnitine [c]
CPT1A; CPT1B; CPT1C",2.0,3
C142ACBP,transport of 3-hydroxytetradeca dienoyl coa from mitochondria into cytosol,Fatty acid oxidation,6829,,DBI,"1.00 * 3-hydroxy trans5,8tetradecadienoyl coa [m] --> 1.00 * 3-hydroxy trans5,8tetradecadienoyl coa [c]
DBI",3.0,1
C142CPT1,production of tetradecadienoylcarnitine,Fatty acid oxidation,6830,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * tetradecadienoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * tetradecadienoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C142OHc,production of 3-hydroxytetradeca dienoyl carnitine,Fatty acid oxidation,6831,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxy trans5,8tetradecadienoyl coa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy trans5,8tetradecadienoyl carnitine [c]
CPT1A; CPT1B; CPT1C",2.0,3
C14OHc,production of 3-hydroxytetradecanoylcarnitine,Fatty acid oxidation,6833,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * (S)-3-Hydroxytetradecanoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy-tetradecanoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C161OHc,production of 3-hydroxyhexadecenoylcarnitine,Fatty acid oxidation,6834,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxyhexadecenoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxyhexadecenoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C162ACBP,"transport of 3-hydroxy trans7,10-hexadecadienoylcoa from mitochondria into cytosol",Fatty acid oxidation,6835,,DBI,"1.00 * 3-hydroxy trans7,10-hexadecadienoylcoa [m] --> 1.00 * 3-hydroxy trans7,10-hexadecadienoylcoa [c]
DBI",3.0,1
C162OHc,production of 3-hydroxy hexadecadienoyl carnitine,Fatty acid oxidation,6836,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxy trans7,10-hexadecadienoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy trans7,10-hexadecadienoyl carnitine [c]
CPT1A; CPT1B; CPT1C",2.0,3
C16DCc,production of hexadecanedioylcarnitine,Fatty acid oxidation,6838,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * hexadecanedioylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * Hexadecanedioic acid mono-L-carnitine ester [c]
CPT1A; CPT1B; CPT1C",4.0,3
C16OHc,production of 3-hydroxyhexadecanoylcarnitinec,Fatty acid oxidation,6840,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxyhexadecanoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxyhexadecanoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C181OHc,production of 3-hydroxyoctadecenoylcarnitinec,Fatty acid oxidation,6842,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxyoctadecenoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy-octadecenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C182OHc,production of 3-hydroxyoctadecadienoylcarnitine,Fatty acid oxidation,6843,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 3-hydroxyoctadecadienoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxyoctadecadienoylcarnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C18OHc,production of 3-hydroxyoctadecanoylcarnitine,Fatty acid oxidation,6844,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * (S)-3-Hydroxyoctadecanoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxyoctadecanoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C30CPT1,production of propionylcarnitine,Fatty acid oxidation,6846,,CPT1A; CPT1B; CPT1C,"1.00 * Propanoyl-CoA [c] + 1.00 * L-Carnitine [c] --> 1.00 * Coenzyme A [c] + 1.00 * propionyl-carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C40CPT1,production of butyrylcarnitine,Fatty acid oxidation,6848,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Butanoyl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * butyryl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C4CRNCPT2,transport of butyryl carnitine in the mitochondrial matrix for final hydrolysis,Fatty acid oxidation,6849,,CPT2,"1.00 * Coenzyme A [m] + 1.00 * butyryl carnitine [m] --> 1.00 * Butanoyl-CoA [m] + 1.00 * L-Carnitine [m]
CPT2",4.0,1
C4OHc,production of 3-hydroxybytyryl carnitinec,Fatty acid oxidation,6853,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * (R)-3-hydroxybutanoyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * 3-hydroxy butyryl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C4tmc,transport of bytyrylcarnitine into mitochondrial matrix,"Transport, mitochondrial",6855,,SLC25A20,"1.00 * butyryl carnitine [c] --> 1.00 * butyryl carnitine [m]
SLC25A20",4.0,1
C50CPT1,production of isovalerylcarnitine,Fatty acid oxidation,6857,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Isovaleryl-CoA [c] --> 1.00 * Coenzyme A [c] + 1.00 * isovaleryl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C51CPT1,production of tiglylcarnitine,Fatty acid oxidation,6858,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * 2-methylcrotonoyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * tiglyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C60CPT1,production of hexanoylcarnitine,Fatty acid oxidation,6860,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Hexanoyl-CoA (n-C6:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * hexanoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C6DCc,production of adipoylcarnitine,Fatty acid oxidation,6865,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * adipoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * adipoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C80CPT1,production of octanoylcarnitine,Fatty acid oxidation,6867,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [c] --> 1.00 * Coenzyme A [c] + 1.00 * octanoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C81CPT1,production of ocetenoylcarnitine,Fatty acid oxidation,6869,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * octenoylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * octenoyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
C8DCc,production of suberylcarnitine,Fatty acid oxidation,6872,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * suberylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * suberyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
DCATDc,transport of Decanoate (n-C10:0) into the cell by diffusion,Fatty acid oxidation,6875,,SLC27A2,"1.00 * Decanoate (n-C10:0) [e] --> 1.00 * Decanoate (n-C10:0) [c]
SLC27A2",2.0,1
DOCO13EFATP,absorption or uptake of 13-docosenoic acid into cells,Fatty acid oxidation,6886,,SLC27A1; SLC27A2; SLC27A3; SLC27A4; SLC27A5; SLC27A6,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * docosenoic acid (C22:1) [e] --> 1.00 * AMP [c] + 1.00 * Diphosphate [c] + 1.00 * 13-docosenoylcoa [c]
SLC27A1; SLC27A2; SLC27A3; SLC27A4; SLC27A5; SLC27A6",3.0,6
DOCOSACT,activation of docosanoic acid for transport,Fatty acid oxidation,6887,,ACSBG1; ACSBG2,"1.00 * ATP [c] + 1.00 * Coenzyme A [c] + 1.00 * Behenic acid [c] --> 1.00 * AMP [c] + 1.00 * Diphosphate [c] + 1.00 * docosanoylcoa [c]
ACSBG1; ACSBG2",2.0,2
FAOXC101C102m,fatty acid beta oxidation(C10:1-->C10:2)m,Fatty acid oxidation,6932,,ACADM; ACOX1,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 4-decenoylcoa [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 2,4-decadienoylcoa [m]
ACADM; ACOX1",4.0,2
FAOXC101C8m,fatty acid beta oxidation(C10:1-->C8)m,Fatty acid oxidation,6934,,ACAA2; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * trans-Dec-2-enoyl-CoA [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACAA2; ECHS1; HADH",4.0,3
FAOXC101m,isomerization(C10:1)m,Fatty acid oxidation,6936,,ECI1,"1.00 * 3-decenoylcoa [m] --> 1.00 * trans-Dec-2-enoyl-CoA [m]
ECI1",4.0,1
FAOXC102C101m,reduction(C10:2-->C10:1)m,Fatty acid oxidation,6938,,DECR1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * 2,4-decadienoylcoa [m] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 3-decenoylcoa [m]
DECR1",4.0,1
FAOXC102C103m,fatty acid beta oxidation(C10:2-->C10:3)m,Fatty acid oxidation,6940,,ACADM,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 4,7-decadienoylcoa [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 2,4,7-decatrienoylcoa [m]
ACADM",4.0,1
FAOXC102C81m,fatty acid beta oxidation(C10:2-->C8:1)m,Fatty acid oxidation,6942,,ACAA2; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 2,7-decadienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * 5-octenoylcoa [m]
ACAA2; ECHS1; HADH",4.0,3
FAOXC102m,isomerization(C10:2)m,Fatty acid oxidation,6944,,ECI1,"1.00 * 3,7-decadienoylcoa [m] --> 1.00 * 2,7-decadienoylcoa [m]
ECI1",4.0,1
FAOXC103C102m,fatty acid beta oxidation(C10:3-->C10:2)m,Fatty acid oxidation,6946,,DECR1,"1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * 2,4,7-decatrienoylcoa [m] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * 3,7-decadienoylcoa [m]
DECR1",4.0,1
FAOXC10C10OHm,fatty acid beta oxidation(C10-->OHC10)m,Fatty acid oxidation,6948,,ACADM; ECHS1,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Decanoyl-CoA (n-C10:0CoA) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * (S)-3-Hydroxydecanoyl-CoA [m]
ACADM; ECHS1",4.0,2
FAOXC10C8m,fatty acid beta oxidation(C10-->C8)m,Fatty acid oxidation,6949,,ACAA2; ACADM; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Decanoyl-CoA (n-C10:0CoA) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Octanoyl-CoA (n-C8:0CoA) [m]
ACAA2; ACADM; ECHS1; HADH",4.0,4
FAOXC11C9m,fatty acid beta oxidation(C11-->C9)m,Fatty acid oxidation,6953,,ACAA2; ACADM; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * undecanoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * nonanoylcoa [m]
ACAA2; ACADM; ECHS1; HADH",4.0,4
FAOXC121C101m,fatty acid beta oxidation(C12:1-->C10:1)m,Fatty acid oxidation,6954,,ACAA2; ACADM; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 5-dodecenoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-decenoylcoa [m]
ACAA2; ACADM; ECHS1; HADH",4.0,4
FAOXC122C101m,fatty acid beta oxidation(C12:2-->C10:1)m,Fatty acid oxidation,6957,,ACAA2; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 2,6-dodecadienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * 4-decenoylcoa [m]
ACAA2; ECHS1; HADH",4.0,3
FAOXC122m,isomerization(C12:2)m,Fatty acid oxidation,6958,,ECI1,"1.00 * 3,6-dodecadienoylcoa [m] --> 1.00 * 2,6-dodecadienoylcoa [m]
ECI1",4.0,1
FAOXC123C102m,fatty acid beta oxidation(C12:3-->C10:2)m,Fatty acid oxidation,6960,,ACAA2; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 2,6,9-dodecatrienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * 4,7-decadienoylcoa [m]
ACAA2; ECHS1; HADH",4.0,3
FAOXC123m,isomerization(C12:3)m,Fatty acid oxidation,6962,,ECI1,"1.00 * 3,6,9-dodecatrienoylcoa [m] --> 1.00 * 2,6,9-dodecatrienoylcoa [m]
ECI1",4.0,1
FAOXC12C10m,fatty acid beta oxidation(C12-->C10)m,Fatty acid oxidation,6964,,ACAA2; ACADM; ECHS1; HADH,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Decanoyl-CoA (n-C10:0CoA) [m]
ACAA2; ACADM; ECHS1; HADH",4.0,4
FAOXC12C12OHm,fatty acid beta oxidation(C12-->OHC12)m,Fatty acid oxidation,6966,,ACADM; ECHS1,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * (S)-3-Hydroxydodecanoyl-CoA [m]
ACADM; ECHS1",4.0,2
FAOXC12DCc,formation of dodecanedioyl carnitine,Fatty acid oxidation,6969,,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * dodecanedioylcoa [c] --> 1.00 * Coenzyme A [c] + 1.00 * dodecanedioyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0,3
FAOXC13C11m,fatty acid beta oxidation(C13-->C11)m,Fatty acid oxidation,6972,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * tridecanoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * undecanoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC141C121m,fatty acid beta oxidation(C14:1-->C12:1)m,Fatty acid oxidation,6973,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 7-tetradecenoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 5-dodecenoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC141C141OHm,fatty acid beta oxidation(C14:1-->C14:1OH)m,Fatty acid oxidation,6975,,ACADVL; HADHA,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 7-tetradecenoylcoa [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-hydroxy tetradecenoyl-7-coa [m]
ACADVL; HADHA",2.0,2
FAOXC142C122m,fatty acid beta oxidation(C14:2-->C12:2)m,Fatty acid oxidation,6976,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 5,8-tetradecadienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3,6-dodecadienoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC142C142OHm,fatty acid beta oxidation(C14:2-->C14:2OH)m,Fatty acid oxidation,6978,,ACADVL; HADHA,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * trans5,8tetradecadienoylcoa [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-hydroxy trans5,8tetradecadienoyl coa [m]
ACADVL; HADHA",2.0,2
FAOXC143C123m,fatty acid beta oxidation(C14:3-->C12:3)m,Fatty acid oxidation,6979,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 5,8,11-tetradecatrienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3,6,9-dodecatrienoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC14C12m,fatty acid beta oxidation(C14-->C12)m,Fatty acid oxidation,6981,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * Dodecanoyl-CoA (n-C12:0CoA) [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC14C14OHm,fatty acid beta oxidation(C14-->C14OH)m,Fatty acid oxidation,6983,,ACADVL; HADHA,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Tetradecanoyl-CoA (n-C14:0CoA) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * (S)-3-Hydroxytetradecanoyl-CoA [m]
ACADVL; HADHA",4.0,2
FAOXC15C13m,fatty acid beta oxidation(C15-->C13)m,Fatty acid oxidation,6987,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * pentadecanoyl Coenzyme A [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * tridecanoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC161C141m,fatty acid beta oxidation(C16:1-->C14:1)m,Fatty acid oxidation,6990,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 7-tetradecenoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC161C161OHm,production of 3-hydroxyhexadecenoylcoA,Fatty acid oxidation,6992,,ACADVL; HADHA,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Hexadecenoyl-CoA (n-C16:1CoA) [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-hydroxyhexadecenoylcoa [m]
ACADVL; HADHA",4.0,2
FAOXC162C142m,fatty acid beta oxidation(C16:2-->C14:2)m,Fatty acid oxidation,6993,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 7,10-hexadecadienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 5,8-tetradecadienoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
FAOXC162C162OHm,fatty acid beta oxidation(C16:2-->C16:2OH)m,Fatty acid oxidation,6994,,ACADVL; HADHA,"1.00 * Water [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * trans7,10-hexadecadienoylcoa [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 3-hydroxy trans7,10-hexadecadienoylcoa [m]
ACADVL; HADHA",2.0,2
FAOXC163C143m,fatty acid beta oxidation(C16:3-->C14:3)m,Fatty acid oxidation,6996,,ACADVL; HADHA; HADHB,"1.00 * Water [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * 7,10,13-hexadecatrienoylcoa [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Acetyl-CoA [m] + 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * 5,8,11-tetradecatrienoylcoa [m]
ACADVL; HADHA; HADHB",4.0,3
